algorithm,access_pattern,cores,runtime[s]
sequential_two_lattice,collision,1,127.592222
sequential_two_lattice,stream,1,129.906569
sequential_two_lattice,bundle,1,128.667661
sequential_two_step,collision,1,125.552181
sequential_two_step,stream,1,126.538339
sequential_two_step,bundle,1,125.890247
sequential_swap,collision,1,132.376288
sequential_swap,stream,1,128.936194
sequential_swap,bundle,1,131.201784
sequential_shift,collision,1,130.263718
sequential_shift,stream,1,130.244913
sequential_shift,bundle,1,132.356076
sequential_two_lattice,collision,1,128.757195
sequential_two_lattice,stream,1,128.909527
sequential_two_lattice,bundle,1,127.301192
sequential_two_step,collision,1,123.867663
sequential_two_step,stream,1,126.923140
sequential_two_step,bundle,1,124.757500
sequential_swap,collision,1,130.258956
sequential_swap,stream,1,131.327077
sequential_swap,bundle,1,129.397872
sequential_shift,collision,1,130.213189
sequential_shift,stream,1,129.404894
sequential_shift,bundle,1,130.015637
sequential_two_lattice,collision,1,128.663365
sequential_two_lattice,stream,1,129.465212
sequential_two_lattice,bundle,1,130.782112
sequential_two_step,collision,1,126.311954
sequential_two_step,stream,1,125.176793
sequential_two_step,bundle,1,125.550452
sequential_swap,collision,1,128.884562
sequential_swap,stream,1,130.453868
sequential_swap,bundle,1,131.803093
sequential_shift,collision,1,130.025962
sequential_shift,stream,1,130.769019
sequential_shift,bundle,1,129.441181
sequential_two_lattice,collision,1,128.874020
sequential_two_lattice,stream,1,128.905529
sequential_two_lattice,bundle,1,127.221340
sequential_two_step,collision,1,124.400702
sequential_two_step,stream,1,124.454948
sequential_two_step,bundle,1,126.495108
sequential_swap,collision,1,131.622936
sequential_swap,stream,1,129.939970
sequential_swap,bundle,1,130.568590
sequential_shift,collision,1,130.150577
sequential_shift,stream,1,130.512169
sequential_shift,bundle,1,130.156021
sequential_two_lattice,collision,1,128.627511
sequential_two_lattice,stream,1,128.668606
sequential_two_lattice,bundle,1,129.265849
sequential_two_step,collision,1,127.285393
sequential_two_step,stream,1,125.891064
sequential_two_step,bundle,1,124.974051
sequential_swap,collision,1,130.816261
sequential_swap,stream,1,131.115652
sequential_swap,bundle,1,131.091273
sequential_shift,collision,1,129.495255
sequential_shift,stream,1,129.578622
sequential_shift,bundle,1,129.724417
sequential_two_lattice,collision,1,128.381431
sequential_two_lattice,stream,1,129.560034
sequential_two_lattice,bundle,1,129.156836
sequential_two_step,collision,1,126.609701
sequential_two_step,stream,1,125.859304
sequential_two_step,bundle,1,124.482895
sequential_swap,collision,1,131.553445
sequential_swap,stream,1,132.200413
sequential_swap,bundle,1,130.171373
sequential_shift,collision,1,130.359765
sequential_shift,stream,1,129.316963
sequential_shift,bundle,1,127.943059
sequential_two_lattice,collision,1,128.341069
sequential_two_lattice,stream,1,128.156643
sequential_two_lattice,bundle,1,127.144880
sequential_two_step,collision,1,125.987997
sequential_two_step,stream,1,126.859103
sequential_two_step,bundle,1,126.238069
sequential_swap,collision,1,131.920606
sequential_swap,stream,1,130.000415
sequential_swap,bundle,1,130.732091
sequential_shift,collision,1,129.350621
sequential_shift,stream,1,128.902581
sequential_shift,bundle,1,130.691648
sequential_two_lattice,collision,1,129.490590
sequential_two_lattice,stream,1,130.498512
sequential_two_lattice,bundle,1,129.184424
sequential_two_step,collision,1,126.712613
sequential_two_step,stream,1,126.014452
sequential_two_step,bundle,1,126.587586
sequential_swap,collision,1,128.994055
sequential_swap,stream,1,130.518033
sequential_swap,bundle,1,129.345581
sequential_shift,collision,1,128.367944
sequential_shift,stream,1,128.197586
sequential_shift,bundle,1,131.259938
sequential_two_lattice,collision,1,128.492608
sequential_two_lattice,stream,1,129.373505
sequential_two_lattice,bundle,1,129.893905
sequential_two_step,collision,1,124.955166
sequential_two_step,stream,1,128.174246
sequential_two_step,bundle,1,125.602431
sequential_swap,collision,1,131.096268
sequential_swap,stream,1,131.953947
sequential_swap,bundle,1,131.432752
sequential_shift,collision,1,128.309827
sequential_shift,stream,1,131.108765
sequential_shift,bundle,1,128.416481
sequential_two_lattice,collision,1,128.187501
sequential_two_lattice,stream,1,127.645475
sequential_two_lattice,bundle,1,130.080088
sequential_two_step,collision,1,126.371896
sequential_two_step,stream,1,127.426274
sequential_two_step,bundle,1,125.713135
sequential_swap,collision,1,131.259645
sequential_swap,stream,1,131.331926
sequential_swap,bundle,1,131.049404
sequential_shift,collision,1,128.513906
sequential_shift,stream,1,127.742069
sequential_shift,bundle,1,130.089778
sequential_two_lattice,collision,1,126.800328
sequential_two_lattice,stream,1,128.594008
sequential_two_lattice,bundle,1,129.350929
sequential_two_step,collision,1,124.732293
sequential_two_step,stream,1,125.800026
sequential_two_step,bundle,1,125.783481
sequential_swap,collision,1,131.270666
sequential_swap,stream,1,131.216306
sequential_swap,bundle,1,130.799956
sequential_shift,collision,1,129.571402
sequential_shift,stream,1,129.691621
sequential_shift,bundle,1,129.358428
sequential_two_lattice,collision,1,127.945645
sequential_two_lattice,stream,1,128.780199
sequential_two_lattice,bundle,1,129.232126
sequential_two_step,collision,1,126.072945
sequential_two_step,stream,1,124.539031
sequential_two_step,bundle,1,125.574918
sequential_swap,collision,1,131.101746
sequential_swap,stream,1,129.247910
sequential_swap,bundle,1,129.344462
sequential_shift,collision,1,130.696532
sequential_shift,stream,1,128.532351
sequential_shift,bundle,1,128.502050
sequential_two_lattice,collision,1,128.978469
sequential_two_lattice,stream,1,130.991021
sequential_two_lattice,bundle,1,128.897927
sequential_two_step,collision,1,124.217728
sequential_two_step,stream,1,125.867275
sequential_two_step,bundle,1,127.869675
sequential_swap,collision,1,130.769709
sequential_swap,stream,1,132.774415
sequential_swap,bundle,1,130.307790
sequential_shift,collision,1,129.923663
sequential_shift,stream,1,130.192313
sequential_shift,bundle,1,131.475271
sequential_two_lattice,collision,1,127.230237
sequential_two_lattice,stream,1,130.292236
sequential_two_lattice,bundle,1,126.965816
sequential_two_step,collision,1,124.966850
sequential_two_step,stream,1,125.845431
sequential_two_step,bundle,1,126.786345
sequential_swap,collision,1,130.847011
sequential_swap,stream,1,128.854777
sequential_swap,bundle,1,130.039489
sequential_shift,collision,1,127.940909
sequential_shift,stream,1,128.948113
sequential_shift,bundle,1,128.284354
sequential_two_lattice,collision,1,130.373441
sequential_two_lattice,stream,1,128.925471
sequential_two_lattice,bundle,1,127.849467
sequential_two_step,collision,1,125.093762
sequential_two_step,stream,1,127.188145
sequential_two_step,bundle,1,126.073365
sequential_swap,collision,1,128.812439
sequential_swap,stream,1,130.302906
sequential_swap,bundle,1,132.261925
sequential_shift,collision,1,127.438177
sequential_shift,stream,1,129.135004
sequential_shift,bundle,1,130.692597
sequential_two_lattice,collision,1,128.542670
sequential_two_lattice,stream,1,130.106933
sequential_two_lattice,bundle,1,128.325066
sequential_two_step,collision,1,126.252389
sequential_two_step,stream,1,126.132093
sequential_two_step,bundle,1,126.772380
sequential_swap,collision,1,130.708999
sequential_swap,stream,1,128.924845
sequential_swap,bundle,1,130.411671
sequential_shift,collision,1,129.253594
sequential_shift,stream,1,128.085779
sequential_shift,bundle,1,130.501087
sequential_two_lattice,collision,1,127.511882
sequential_two_lattice,stream,1,129.532098
sequential_two_lattice,bundle,1,129.260700
sequential_two_step,collision,1,126.546060
sequential_two_step,stream,1,126.249134
sequential_two_step,bundle,1,126.084127
sequential_swap,collision,1,129.960094
sequential_swap,stream,1,131.420314
sequential_swap,bundle,1,130.818815
sequential_shift,collision,1,129.506584
sequential_shift,stream,1,128.074473
sequential_shift,bundle,1,129.629653
sequential_two_lattice,collision,1,128.600967
sequential_two_lattice,stream,1,130.138094
sequential_two_lattice,bundle,1,129.882956
sequential_two_step,collision,1,126.483280
sequential_two_step,stream,1,124.311112
sequential_two_step,bundle,1,125.731485
sequential_swap,collision,1,130.034578
sequential_swap,stream,1,130.847270
sequential_swap,bundle,1,130.335261
sequential_shift,collision,1,130.982266
sequential_shift,stream,1,129.777573
sequential_shift,bundle,1,131.673503
sequential_two_lattice,collision,1,127.160499
sequential_two_lattice,stream,1,129.286964
sequential_two_lattice,bundle,1,130.924627
sequential_two_step,collision,1,126.043152
sequential_two_step,stream,1,126.364900
sequential_two_step,bundle,1,127.230636
sequential_swap,collision,1,131.527849
sequential_swap,stream,1,131.673597
sequential_swap,bundle,1,131.186006
sequential_shift,collision,1,127.441824
sequential_shift,stream,1,129.641734
sequential_shift,bundle,1,129.981961
sequential_two_lattice,collision,1,127.502987
sequential_two_lattice,stream,1,127.509855
sequential_two_lattice,bundle,1,128.627271
sequential_two_step,collision,1,125.748576
sequential_two_step,stream,1,127.004781
sequential_two_step,bundle,1,127.280892
sequential_swap,collision,1,130.268609
sequential_swap,stream,1,129.931278
sequential_swap,bundle,1,131.053875
sequential_shift,collision,1,128.777483
sequential_shift,stream,1,130.045783
sequential_shift,bundle,1,129.894857
parallel_two_lattice,collision,2,64.473809
parallel_two_lattice,collision,4,33.382640
parallel_two_lattice,collision,8,17.725845
parallel_two_lattice,collision,16,10.030468
parallel_two_lattice,collision,32,6.084383
parallel_two_lattice,collision,64,4.796165
parallel_two_lattice,collision,128,3.616301
parallel_two_lattice,stream,2,64.430506
parallel_two_lattice,stream,4,32.782399
parallel_two_lattice,stream,8,17.690875
parallel_two_lattice,stream,16,9.688100
parallel_two_lattice,stream,32,6.184586
parallel_two_lattice,stream,64,4.801566
parallel_two_lattice,stream,128,3.656945
parallel_two_lattice,bundle,2,64.315051
parallel_two_lattice,bundle,4,33.503023
parallel_two_lattice,bundle,8,17.462166
parallel_two_lattice,bundle,16,9.677749
parallel_two_lattice,bundle,32,6.386110
parallel_two_lattice,bundle,64,4.802676
parallel_two_lattice,bundle,128,3.599668
parallel_two_lattice_framework,collision,2,65.275268
parallel_two_lattice_framework,collision,4,33.082221
parallel_two_lattice_framework,collision,8,18.058779
parallel_two_lattice_framework,collision,16,9.844500
parallel_two_lattice_framework,collision,32,6.171409
parallel_two_lattice_framework,collision,64,5.227165
parallel_two_lattice_framework,collision,128,4.342480
parallel_two_lattice_framework,stream,2,65.126295
parallel_two_lattice_framework,stream,4,33.526426
parallel_two_lattice_framework,stream,8,17.866430
parallel_two_lattice_framework,stream,16,9.900723
parallel_two_lattice_framework,stream,32,6.221528
parallel_two_lattice_framework,stream,64,5.184124
parallel_two_lattice_framework,stream,128,4.435159
parallel_two_lattice_framework,bundle,2,64.790117
parallel_two_lattice_framework,bundle,4,32.990500
parallel_two_lattice_framework,bundle,8,18.039855
parallel_two_lattice_framework,bundle,16,10.108176
parallel_two_lattice_framework,bundle,32,7.398243
parallel_two_lattice_framework,bundle,64,5.148293
parallel_two_lattice_framework,bundle,128,4.466070
parallel_two_step,collision,2,62.286923
parallel_two_step,collision,4,32.224611
parallel_two_step,collision,8,18.322220
parallel_two_step,collision,16,9.640607
parallel_two_step,collision,32,6.135436
parallel_two_step,collision,64,5.247295
parallel_two_step,collision,128,4.537316
parallel_two_step,stream,2,62.416258
parallel_two_step,stream,4,32.065732
parallel_two_step,stream,8,17.432694
parallel_two_step,stream,16,9.856011
parallel_two_step,stream,32,6.201530
parallel_two_step,stream,64,5.282939
parallel_two_step,stream,128,4.581731
parallel_two_step,bundle,2,63.151755
parallel_two_step,bundle,4,32.753768
parallel_two_step,bundle,8,18.533576
parallel_two_step,bundle,16,9.614766
parallel_two_step,bundle,32,6.208779
parallel_two_step,bundle,64,5.226864
parallel_two_step,bundle,128,4.547904
parallel_swap,collision,2,65.261758
parallel_swap,collision,4,33.458747
parallel_swap,collision,8,18.198513
parallel_swap,collision,16,10.594951
parallel_swap,collision,32,6.593697
parallel_swap,collision,64,5.515398
parallel_swap,collision,128,4.847186
parallel_swap,stream,2,65.585155
parallel_swap,stream,4,34.233722
parallel_swap,stream,8,19.955124
parallel_swap,stream,16,10.865006
parallel_swap,stream,32,6.620090
parallel_swap,stream,64,5.509046
parallel_swap,stream,128,4.895996
parallel_swap,bundle,2,66.410706
parallel_swap,bundle,4,34.334364
parallel_swap,bundle,8,18.452774
parallel_swap,bundle,16,10.439391
parallel_swap,bundle,32,6.605717
parallel_swap,bundle,64,5.548897
parallel_swap,bundle,128,4.843087
parallel_shift,collision,2,63.655812
parallel_shift,collision,4,31.575438
parallel_shift,collision,8,16.986591
parallel_shift,collision,16,9.918342
parallel_shift,collision,32,5.803582
parallel_shift,collision,64,4.865140
parallel_shift,collision,128,4.049728
parallel_shift,stream,2,62.791058
parallel_shift,stream,4,32.989362
parallel_shift,stream,8,17.379910
parallel_shift,stream,16,9.952947
parallel_shift,stream,32,5.790230
parallel_shift,stream,64,5.272282
parallel_shift,stream,128,4.003655
parallel_shift,bundle,2,63.467718
parallel_shift,bundle,4,32.542847
parallel_shift,bundle,8,17.264285
parallel_shift,bundle,16,9.824988
parallel_shift,bundle,32,5.926507
parallel_shift,bundle,64,5.316359
parallel_shift,bundle,128,3.983674
parallel_two_lattice,collision,2,65.230434
parallel_two_lattice,collision,4,33.417512
parallel_two_lattice,collision,8,17.641606
parallel_two_lattice,collision,16,10.033483
parallel_two_lattice,collision,32,6.033460
parallel_two_lattice,collision,64,4.779952
parallel_two_lattice,collision,128,3.625273
parallel_two_lattice,stream,2,64.777281
parallel_two_lattice,stream,4,33.437668
parallel_two_lattice,stream,8,18.473378
parallel_two_lattice,stream,16,9.783862
parallel_two_lattice,stream,32,6.036746
parallel_two_lattice,stream,64,4.742848
parallel_two_lattice,stream,128,3.678536
parallel_two_lattice,bundle,2,64.998214
parallel_two_lattice,bundle,4,33.106302
parallel_two_lattice,bundle,8,17.876118
parallel_two_lattice,bundle,16,10.138464
parallel_two_lattice,bundle,32,6.040190
parallel_two_lattice,bundle,64,4.782755
parallel_two_lattice,bundle,128,3.628716
parallel_two_lattice_framework,collision,2,64.664963
parallel_two_lattice_framework,collision,4,32.978326
parallel_two_lattice_framework,collision,8,17.722680
parallel_two_lattice_framework,collision,16,10.306654
parallel_two_lattice_framework,collision,32,6.202117
parallel_two_lattice_framework,collision,64,5.228538
parallel_two_lattice_framework,collision,128,4.485674
parallel_two_lattice_framework,stream,2,65.726695
parallel_two_lattice_framework,stream,4,32.896473
parallel_two_lattice_framework,stream,8,17.815641
parallel_two_lattice_framework,stream,16,9.810615
parallel_two_lattice_framework,stream,32,6.241241
parallel_two_lattice_framework,stream,64,5.209626
parallel_two_lattice_framework,stream,128,4.427724
parallel_two_lattice_framework,bundle,2,63.818603
parallel_two_lattice_framework,bundle,4,33.409555
parallel_two_lattice_framework,bundle,8,17.708155
parallel_two_lattice_framework,bundle,16,9.896476
parallel_two_lattice_framework,bundle,32,6.244176
parallel_two_lattice_framework,bundle,64,5.173229
parallel_two_lattice_framework,bundle,128,4.499299
parallel_two_step,collision,2,63.479597
parallel_two_step,collision,4,32.089538
parallel_two_step,collision,8,18.562177
parallel_two_step,collision,16,9.703632
parallel_two_step,collision,32,6.109037
parallel_two_step,collision,64,5.213253
parallel_two_step,collision,128,4.489399
parallel_two_step,stream,2,63.257935
parallel_two_step,stream,4,32.152048
parallel_two_step,stream,8,17.497219
parallel_two_step,stream,16,10.964623
parallel_two_step,stream,32,6.188970
parallel_two_step,stream,64,5.241011
parallel_two_step,stream,128,4.588200
parallel_two_step,bundle,2,63.499352
parallel_two_step,bundle,4,32.456159
parallel_two_step,bundle,8,18.482377
parallel_two_step,bundle,16,10.118510
parallel_two_step,bundle,32,6.163391
parallel_two_step,bundle,64,5.274543
parallel_two_step,bundle,128,4.536923
parallel_swap,collision,2,66.251562
parallel_swap,collision,4,34.162416
parallel_swap,collision,8,18.238598
parallel_swap,collision,16,10.411694
parallel_swap,collision,32,6.585660
parallel_swap,collision,64,5.509571
parallel_swap,collision,128,4.828354
parallel_swap,stream,2,66.158071
parallel_swap,stream,4,34.172593
parallel_swap,stream,8,18.257689
parallel_swap,stream,16,11.303895
parallel_swap,stream,32,6.665035
parallel_swap,stream,64,5.559759
parallel_swap,stream,128,4.854896
parallel_swap,bundle,2,64.937734
parallel_swap,bundle,4,33.601119
parallel_swap,bundle,8,18.061012
parallel_swap,bundle,16,11.204541
parallel_swap,bundle,32,6.634657
parallel_swap,bundle,64,5.539808
parallel_swap,bundle,128,4.985691
parallel_shift,collision,2,62.227631
parallel_shift,collision,4,32.010716
parallel_shift,collision,8,17.263995
parallel_shift,collision,16,9.392679
parallel_shift,collision,32,5.798711
parallel_shift,collision,64,4.781587
parallel_shift,collision,128,3.989617
parallel_shift,stream,2,63.744545
parallel_shift,stream,4,32.579852
parallel_shift,stream,8,17.328526
parallel_shift,stream,16,9.620915
parallel_shift,stream,32,5.742118
parallel_shift,stream,64,5.309921
parallel_shift,stream,128,4.116784
parallel_shift,bundle,2,62.816594
parallel_shift,bundle,4,32.490045
parallel_shift,bundle,8,18.653171
parallel_shift,bundle,16,9.813571
parallel_shift,bundle,32,5.957113
parallel_shift,bundle,64,4.769385
parallel_shift,bundle,128,4.069143
parallel_two_lattice,collision,2,64.683836
parallel_two_lattice,collision,4,32.613042
parallel_two_lattice,collision,8,17.686187
parallel_two_lattice,collision,16,9.743354
parallel_two_lattice,collision,32,6.065685
parallel_two_lattice,collision,64,4.739971
parallel_two_lattice,collision,128,3.628003
parallel_two_lattice,stream,2,65.570422
parallel_two_lattice,stream,4,33.512875
parallel_two_lattice,stream,8,17.759982
parallel_two_lattice,stream,16,10.085336
parallel_two_lattice,stream,32,6.041297
parallel_two_lattice,stream,64,4.834650
parallel_two_lattice,stream,128,3.614387
parallel_two_lattice,bundle,2,64.849583
parallel_two_lattice,bundle,4,32.869856
parallel_two_lattice,bundle,8,17.667386
parallel_two_lattice,bundle,16,10.208135
parallel_two_lattice,bundle,32,6.129484
parallel_two_lattice,bundle,64,4.798594
parallel_two_lattice,bundle,128,3.601200
parallel_two_lattice_framework,collision,2,64.088868
parallel_two_lattice_framework,collision,4,32.699063
parallel_two_lattice_framework,collision,8,17.958451
parallel_two_lattice_framework,collision,16,9.854565
parallel_two_lattice_framework,collision,32,6.313579
parallel_two_lattice_framework,collision,64,5.224240
parallel_two_lattice_framework,collision,128,4.370868
parallel_two_lattice_framework,stream,2,64.149935
parallel_two_lattice_framework,stream,4,33.141392
parallel_two_lattice_framework,stream,8,17.687882
parallel_two_lattice_framework,stream,16,10.718695
parallel_two_lattice_framework,stream,32,7.259608
parallel_two_lattice_framework,stream,64,5.140925
parallel_two_lattice_framework,stream,128,4.489710
parallel_two_lattice_framework,bundle,2,64.864861
parallel_two_lattice_framework,bundle,4,32.792908
parallel_two_lattice_framework,bundle,8,18.661814
parallel_two_lattice_framework,bundle,16,10.767114
parallel_two_lattice_framework,bundle,32,6.242574
parallel_two_lattice_framework,bundle,64,5.148163
parallel_two_lattice_framework,bundle,128,4.472613
parallel_two_step,collision,2,62.156740
parallel_two_step,collision,4,32.761928
parallel_two_step,collision,8,17.216188
parallel_two_step,collision,16,9.749761
parallel_two_step,collision,32,6.233099
parallel_two_step,collision,64,5.261276
parallel_two_step,collision,128,4.563435
parallel_two_step,stream,2,63.321077
parallel_two_step,stream,4,32.585786
parallel_two_step,stream,8,17.557491
parallel_two_step,stream,16,9.696307
parallel_two_step,stream,32,6.051519
parallel_two_step,stream,64,5.337113
parallel_two_step,stream,128,4.639065
parallel_two_step,bundle,2,62.523499
parallel_two_step,bundle,4,32.972295
parallel_two_step,bundle,8,18.836002
parallel_two_step,bundle,16,9.613068
parallel_two_step,bundle,32,6.247301
parallel_two_step,bundle,64,5.214756
parallel_two_step,bundle,128,4.549110
parallel_swap,collision,2,66.447332
parallel_swap,collision,4,34.083662
parallel_swap,collision,8,19.405584
parallel_swap,collision,16,11.314918
parallel_swap,collision,32,6.717630
parallel_swap,collision,64,5.542054
parallel_swap,collision,128,4.893763
parallel_swap,stream,2,66.141654
parallel_swap,stream,4,33.466348
parallel_swap,stream,8,18.389604
parallel_swap,stream,16,10.964284
parallel_swap,stream,32,6.624403
parallel_swap,stream,64,5.593216
parallel_swap,stream,128,4.860344
parallel_swap,bundle,2,64.847698
parallel_swap,bundle,4,34.347968
parallel_swap,bundle,8,18.536540
parallel_swap,bundle,16,10.883548
parallel_swap,bundle,32,6.653666
parallel_swap,bundle,64,5.496045
parallel_swap,bundle,128,4.794161
parallel_shift,collision,2,62.778143
parallel_shift,collision,4,32.651247
parallel_shift,collision,8,17.367642
parallel_shift,collision,16,9.620685
parallel_shift,collision,32,5.741113
parallel_shift,collision,64,4.738033
parallel_shift,collision,128,4.044684
parallel_shift,stream,2,63.113208
parallel_shift,stream,4,32.469749
parallel_shift,stream,8,17.079694
parallel_shift,stream,16,10.400046
parallel_shift,stream,32,5.815079
parallel_shift,stream,64,4.821946
parallel_shift,stream,128,4.006247
parallel_shift,bundle,2,63.839921
parallel_shift,bundle,4,33.008968
parallel_shift,bundle,8,17.143975
parallel_shift,bundle,16,9.438846
parallel_shift,bundle,32,5.853369
parallel_shift,bundle,64,4.775611
parallel_shift,bundle,128,4.010610
parallel_two_lattice,collision,2,64.243605
parallel_two_lattice,collision,4,33.125204
parallel_two_lattice,collision,8,17.615832
parallel_two_lattice,collision,16,9.702839
parallel_two_lattice,collision,32,6.147381
parallel_two_lattice,collision,64,4.756054
parallel_two_lattice,collision,128,3.613950
parallel_two_lattice,stream,2,64.765910
parallel_two_lattice,stream,4,33.190849
parallel_two_lattice,stream,8,17.451645
parallel_two_lattice,stream,16,10.284394
parallel_two_lattice,stream,32,6.241753
parallel_two_lattice,stream,64,4.766885
parallel_two_lattice,stream,128,3.626818
parallel_two_lattice,bundle,2,65.365534
parallel_two_lattice,bundle,4,33.249536
parallel_two_lattice,bundle,8,17.857267
parallel_two_lattice,bundle,16,9.677928
parallel_two_lattice,bundle,32,6.004844
parallel_two_lattice,bundle,64,4.744031
parallel_two_lattice,bundle,128,3.604407
parallel_two_lattice_framework,collision,2,64.660001
parallel_two_lattice_framework,collision,4,32.807038
parallel_two_lattice_framework,collision,8,18.397574
parallel_two_lattice_framework,collision,16,10.973093
parallel_two_lattice_framework,collision,32,6.161622
